World,Generation,Fitness,BaseRate,KinChange,CoopChange,DefectChange,GroupChange,CoopPercent,DefectPercent
0,0,403.24,-0.1804,-0.0344,-0.1108,-0.0828,-0.0528,0.385,0.615
0,1,361.0,-0.0803387029847,-0.120204941178,-0.270126416178,0.0320677013416,-0.208539924943,0.285,0.715
0,2,252.08,-0.171668260763,-0.425582982914,-0.462808229227,0.0654022714649,-0.431982678274,0.0884,0.9116
0,3,210.84,-0.0691598584587,-0.64083455513,-0.414817641635,0.206815031652,-0.446193689625,0.0198,0.9802
0,4,206.08,-0.240153567419,-0.49031045922,-0.451672143893,0.14368545844,-0.481600688925,0.0104,0.9896
0,5,203.32,-0.377364306619,-0.301311799536,-0.484212478666,0.112810425797,-0.538640848235,0.0058,0.9942
0,6,202.96,-0.410828630633,-0.251823449482,-0.461856794058,0.0980317593301,-0.518741864467,0.0052,0.9948
0,7,201.44,-0.505229530382,-0.220005717734,-0.458586901544,0.151749268572,-0.475406830259,0.0024,0.9976
0,8,201.08,-0.538653000183,-0.193762527986,-0.486408157224,0.128156269134,-0.499719681369,0.0018,0.9982
0,9,200.72,-0.595598459861,-0.304604981595,-0.584143653311,0.163548132557,-0.461016099715,0.0012,0.9988
0,10,205.28,-0.612742830963,-0.362400967784,-0.574352860031,0.264690197356,-0.41162374057,0.0088,0.9912
0,11,210.68,-0.614093965595,-0.364900627189,-0.447883315266,0.430960630033,-0.276295598417,0.0178,0.9822
0,12,203.24,-0.423802274568,-0.042377310807,-0.155074986255,0.361489041858,-0.352871930839,0.0054,0.9946
0,13,211.76,-0.381634137599,0.0176266704155,-0.111032986224,0.337729930659,-0.378711024786,0.0196,0.9804
0,14,201.8,-0.300944304573,0.179217447919,0.0380481038146,0.277281035309,-0.428978424861,0.003,0.997
0,15,200.84,-0.331578132364,0.10075508351,-0.0262901131158,0.290155766117,-0.409371035323,0.0014,0.9986
0,16,202.04,-0.317246652877,0.10146972659,-0.0513348722132,0.280360271833,-0.403376126114,0.0034,0.9966
0,17,201.44,-0.317920608786,0.112925215984,-0.0486272992693,0.270386615669,-0.404950877972,0.0024,0.9976
0,18,202.12,-0.169847592754,0.409707166195,0.164324035133,0.149000116823,-0.503630670318,0.0038,0.9962
0,19,203.36,-0.182043766246,0.398152668155,0.164394748367,0.157003823325,-0.514497316705,0.006,0.994
0,20,202.4,-0.159856260314,0.437918564721,0.207997839548,0.143897015892,-0.513150028436,0.004,0.996
0,21,202.56,-0.184537919626,0.357771913595,0.163078692033,0.167731163045,-0.498375767412,0.0044,0.9956
0,22,204.84,-0.157080677359,0.362184797377,0.15561997643,0.15000103167,-0.514580430005,0.0082,0.9918
0,23,203.12,-0.158050574944,0.363794657261,0.161341625877,0.143653612912,-0.514716789226,0.0052,0.9948
0,24,204.56,-0.121205544234,0.436654166682,0.199080077694,0.1164755224,-0.542289537333,0.0076,0.9924
0,25,203.76,-0.0681018845585,0.543460043662,0.283990183789,0.0626883741694,-0.5723263017,0.0064,0.9936
0,26,203.52,-0.0746244450581,0.540674785095,0.273474939772,0.050383729122,-0.589273201443,0.006,0.994
0,27,203.0,-0.0777175441554,0.55335048188,0.276614187632,0.0469309592863,-0.580701150079,0.005,0.995
0,28,203.32,-0.075079369695,0.550782249315,0.274828126818,0.0483691814389,-0.586687162364,0.0058,0.9942
0,29,203.16,-0.0722454327612,0.553799941794,0.26657825567,0.0453568263729,-0.587926015724,0.0054,0.9946
0,30,204.0,-0.073075702913,0.54940691734,0.277540284259,0.0494668772879,-0.585948223732,0.0068,0.9932
0,31,202.64,-0.0558225310503,0.526087685352,0.269140095952,0.0429444582107,-0.57462912996,0.0044,0.9956
0,32,203.48,-0.064518482978,0.536303275095,0.274856495909,0.0516362591909,-0.575378832942,0.0058,0.9942
0,33,205.0,-0.0643052519795,0.537362695099,0.297208817738,0.0432466068864,-0.572846422835,0.0086,0.9914
0,34,203.6,-0.0697455095276,0.55177115743,0.30345754554,0.0517760991737,-0.574043017095,0.006,0.994
0,35,203.48,-0.0657444430683,0.562538251304,0.28439861349,0.0465279985552,-0.554746327948,0.0058,0.9942
0,36,203.48,-0.0710776337641,0.569117843752,0.283603933808,0.0409280318622,-0.54938190445,0.0058,0.9942
0,37,204.24,-0.0887462266541,0.575628163834,0.277357240055,0.0360581998709,-0.544751722824,0.0072,0.9928
0,38,203.48,-0.0903178864003,0.560105184668,0.260694143036,0.0404796433486,-0.547075188928,0.0058,0.9942
