World,Generation,Fitness,BaseRate,KinChange,CoopChange,DefectChange,GroupChange
0,75,151.19,-0.0665,0.0633,-0.0157,-0.0151,-0.5478
0,76,147.88,-0.047,0.0223,-0.0946,-0.0484,-0.5285
0,77,152.63,-0.0488,0.0444,-0.0592,-0.1049,-0.531
0,78,154.9,-0.0974,0.0334,-0.0868,0.0123,-0.4727
0,79,151.6,-0.1311,0.0177,-0.0018,-0.0193,-0.3993
0,80,157.23,-0.1492,-0.0184,0.0796,0.0652,-0.38
0,81,143.98,-0.229,-0.1257,0.0081,0.0966,-0.4022
0,82,141.39,-0.2714,-0.0261,-0.0587,0.0575,-0.4106
0,83,133.61,-0.2909,-0.1803,-0.0391,0.033,-0.461
0,84,135.87,-0.2478,-0.2119,-0.0802,0.0624,-0.4399
0,85,129.5,-0.3698,-0.2142,-0.0512,0.0671,-0.4329
0,86,136.0,-0.3202,-0.2473,-0.0799,-0.0064,-0.3673
0,87,136.81,-0.3209,-0.2895,-0.0548,0.059,-0.3751
0,88,142.49,-0.3324,-0.2109,-0.1724,0.0344,-0.2808
0,89,150.98,-0.347,-0.1449,-0.1229,0.0365,-0.3183
0,90,141.75,-0.3163,-0.1525,-0.0934,-0.1849,-0.2942
0,91,132.67,-0.3815,-0.0902,-0.0778,-0.2076,-0.3092
0,92,134.65,-0.2776,-0.1676,-0.178,-0.173,-0.3264
0,93,144.59,-0.2989,-0.0835,-0.0703,-0.1789,-0.2548
0,94,137.05,-0.382,-0.0809,-0.0497,-0.09,-0.2824
0,95,141.12,-0.3248,-0.1684,0.056,-0.099,-0.2935
0,96,130.1,-0.3121,-0.1222,0.0759,-0.1156,-0.3176
0,97,125.83,-0.3232,-0.0542,0.1528,-0.1402,-0.3607
0,98,128.43,-0.3175,-0.0541,0.1437,-0.164,-0.3326
0,99,129.79,-0.3214,-0.0762,0.1176,-0.1402,-0.2735
1,0,210.11,-0.0183,0.0917,-0.1038,-0.0057,0.1269
1,1,194.9,-0.1687,0.0185,-0.1661,0.0534,-0.0407
1,2,167.35,-0.2632,0.0017,-0.2267,0.0078,-0.2131
1,3,146.1,-0.2204,-0.1301,-0.3745,-0.1032,-0.3138
1,4,136.27,-0.2333,-0.0874,-0.336,-0.0642,-0.4513
1,5,135.2,-0.2679,-0.0298,-0.3553,-0.052,-0.4231
1,6,134.9,-0.2558,-0.0214,-0.2821,-0.0865,-0.4233
1,7,115.79,-0.3392,0.0124,-0.2649,-0.1335,-0.512
1,8,127.9,-0.298,0.0341,-0.3251,-0.1682,-0.3807
1,9,133.4,-0.2892,0.0162,-0.3401,-0.1336,-0.4209
1,10,125.67,-0.2648,0.0187,-0.3668,-0.1751,-0.4529
1,11,128.75,-0.2054,-0.0682,-0.2503,-0.2195,-0.4259
1,12,135.02,-0.1836,-0.0013,-0.2207,-0.3166,-0.3908
1,13,128.0,-0.2818,0.0172,-0.1387,-0.3869,-0.3933
1,14,121.24,-0.3007,0.1772,-0.1611,-0.4531,-0.4178
1,15,127.1,-0.2205,0.2036,-0.026,-0.3745,-0.4465
1,16,125.24,-0.1975,0.1366,-0.0152,-0.3297,-0.4811
1,17,134.31,-0.2485,0.1543,-0.1546,-0.2761,-0.4582
1,18,131.26,-0.259,0.155,-0.1554,-0.253,-0.4694
1,19,138.04,-0.2089,0.2304,-0.1711,-0.3108,-0.5145
1,20,137.13,-0.172,0.2487,-0.0829,-0.2788,-0.5203
1,21,141.57,-0.1777,0.2514,-0.1301,-0.1966,-0.5062
1,22,133.73,-0.2203,0.1527,-0.1589,-0.3013,-0.4823
1,23,139.86,-0.2093,0.1864,-0.2609,-0.3579,-0.4006
1,24,126.95,-0.2596,0.2824,-0.3771,-0.3936,-0.4934
1,25,131.86,-0.3657,0.2158,-0.3281,-0.312,-0.4082
1,26,124.64,-0.3532,0.0802,-0.438,-0.3284,-0.4299
1,27,123.86,-0.315,0.0229,-0.414,-0.3147,-0.4142
1,28,118.23,-0.3503,0.0425,-0.4545,-0.3116,-0.503
1,29,125.17,-0.2972,0.0562,-0.4831,-0.3136,-0.4507
1,30,122.49,-0.3308,0.1588,-0.5146,-0.4192,-0.4651
1,31,124.65,-0.3239,0.2744,-0.5078,-0.3541,-0.5318
1,32,115.73,-0.3464,0.18,-0.541,-0.2882,-0.5168
1,33,109.36,-0.4071,0.2127,-0.5342,-0.4525,-0.5642
1,34,115.52,-0.4254,0.1529,-0.3987,-0.5175,-0.5415
1,35,122.3,-0.4424,0.1337,-0.3666,-0.5272,-0.4696
1,36,117.71,-0.4118,0.0444,-0.3459,-0.4496,-0.4729
1,37,121.33,-0.3856,-0.044,-0.2724,-0.3261,-0.434
1,38,119.54,-0.4001,-0.074,-0.2361,-0.2538,-0.4344
1,39,120.46,-0.338,-0.0739,-0.1708,-0.2408,-0.4375
1,40,122.44,-0.3537,-0.0944,-0.2384,-0.191,-0.4157
1,41,123.95,-0.3377,-0.0568,-0.1264,-0.2539,-0.4306
1,42,125.07,-0.3281,-0.115,-0.1336,-0.1863,-0.4174
1,43,125.2,-0.3823,-0.162,-0.0257,-0.1697,-0.3959
1,44,123.64,-0.3838,-0.263,-0.0743,-0.2099,-0.4274
1,45,129.44,-0.402,-0.2578,-0.1221,-0.1334,-0.3296
1,46,132.05,-0.382,-0.2361,-0.1534,-0.0968,-0.3636
1,47,132.53,-0.3756,-0.2783,-0.2379,-0.0793,-0.3733
1,48,131.49,-0.278,-0.2645,-0.4167,-0.1325,-0.3907
1,49,125.24,-0.3566,-0.231,-0.306,-0.2026,-0.3825
1,50,118.87,-0.3613,-0.2892,-0.3114,-0.2854,-0.4324
1,51,112.49,-0.3912,-0.2746,-0.1965,-0.2783,-0.4761
1,52,121.09,-0.4281,-0.2381,-0.1771,-0.3018,-0.3853
1,53,125.34,-0.3739,-0.2081,-0.206,-0.2239,-0.3751
1,54,128.84,-0.3449,-0.2274,-0.2252,-0.1213,-0.343
1,55,126.19,-0.3371,-0.1965,-0.1909,-0.1342,-0.3353
1,56,128.0,-0.276,-0.1894,-0.1624,-0.1502,-0.3628
1,57,127.11,-0.182,-0.2223,-0.2272,-0.0801,-0.3512
1,58,130.39,-0.1172,-0.2724,-0.2296,-0.07,-0.3563
1,59,123.3,-0.182,-0.3161,-0.2129,-0.1072,-0.3255
1,60,119.33,-0.276,-0.3933,-0.2407,-0.0728,-0.338
1,61,126.02,-0.2133,-0.4611,-0.2566,-0.0569,-0.2991
1,62,122.17,-0.2711,-0.4554,-0.2349,-0.118,-0.2954
1,63,128.68,-0.2893,-0.4206,-0.2382,-0.0387,-0.2928
1,64,117.45,-0.34,-0.514,-0.2501,-0.2031,-0.3325
1,65,122.94,-0.352,-0.4308,-0.2422,-0.2041,-0.3188
1,66,120.37,-0.3154,-0.4358,-0.1854,-0.3596,-0.2891
1,67,124.24,-0.26,-0.4502,-0.2732,-0.313,-0.3565
1,68,122.99,-0.2666,-0.5234,-0.2387,-0.3585,-0.3611
