World,Generation,Fitness,BaseRate,KinChange,CoopChange,DefectChange,GroupChange,CoopPercent,DefectPercent
0,0,300.52,-0.1804,-0.0344,-0.1108,-0.0828,-0.0528,0.3816,0.6184
0,1,248.32,-0.2832,-0.24403989087,-0.319392749964,0.00897027088112,-0.0973619673812,0.233066666667,0.766933333333
0,2,231.16,-0.197768507965,-0.431814273789,-0.293756801058,-0.0802034448436,-0.194434220587,0.190666666667,0.809333333333
0,3,196.68,-0.14228998432,-0.48326001636,-0.34386677316,-0.154657965901,-0.166259582812,0.104266666667,0.895733333333
0,4,187.0,-0.219450283462,-0.346418473011,-0.440199764453,-0.242910013847,-0.118116666836,0.0829333333333,0.917066666667
0,5,201.08,-0.116006445415,-0.425665412258,-0.398433844504,-0.156296645166,-0.150374970667,0.114933333333,0.885066666667
0,6,212.96,-0.304427479275,-0.39083333486,-0.447777458408,-0.310169484695,-0.0902959849884,0.140266666667,0.859733333333
0,7,213.24,-0.31019982563,-0.321204054494,-0.453831909447,-0.295398818932,-0.0940364255032,0.141066666667,0.858933333333
0,8,205.36,-0.346594211968,-0.183510262118,-0.495608925211,-0.311445643868,-0.0887672660806,0.1232,0.8768
0,9,199.52,-0.146345641419,-0.230198324041,-0.413841620118,-0.125203335759,-0.144238556189,0.1104,0.8896
0,10,191.12,-0.0172883641717,-0.0141724991505,-0.413644637304,-0.0193694483797,-0.151732213251,0.0928,0.9072
0,11,185.44,0.098025669194,0.0747707006886,-0.377942516135,0.0879331314443,-0.17981726284,0.0816,0.9184
0,12,187.8,-0.062996554286,-0.00103310704376,-0.421343973533,-0.0615540580097,-0.132748989269,0.0856,0.9144
0,13,182.76,-0.18754635203,-0.115598342706,-0.433471987435,-0.170655557534,-0.122994776554,0.0738666666667,0.926133333333
0,14,180.92,-0.0828726502865,-0.126719280812,-0.409360281672,-0.0798315504206,-0.148438056537,0.0706666666667,0.929333333333
0,15,186.24,-0.325811336713,0.00800275779183,-0.502743443097,-0.304643566788,-0.0914791725409,0.0821333333333,0.917866666667
0,16,186.88,-0.266178643171,0.0784569954055,-0.495187123756,-0.245163176037,-0.110125365706,0.0837333333333,0.916266666667
0,17,186.68,-0.161735269618,0.186313873904,-0.468776527976,-0.137328615918,-0.130747774724,0.0824,0.9176
0,18,179.24,-0.155786007464,0.241876099145,-0.477403388546,-0.126906873104,-0.135823846724,0.0664,0.9336
0,19,164.76,-0.0960449013817,0.321923238317,-0.468467515689,-0.0636532547383,-0.150590134079,0.0344,0.9656
0,20,175.72,-0.0367391258835,0.343540280765,-0.464942938678,-0.0175220668779,-0.147218535819,0.0594666666667,0.940533333333
0,21,186.96,0.0613863832908,0.389815468967,-0.446638487476,0.0860387687067,-0.141313408601,0.0837333333333,0.916266666667
0,22,190.52,-0.038765547065,0.357992566638,-0.477139451915,-0.0110962863542,-0.121946312325,0.092,0.908
0,23,175.88,-0.457488875636,0.205522755571,-0.571921328181,-0.411566683743,-0.0504775506878,0.0584,0.9416
0,24,174.64,-0.611251099717,0.146741581009,-0.606031578318,-0.549797698273,-0.0279031498252,0.0549333333333,0.945066666667
0,25,187.08,-0.397202911263,0.200451695776,-0.560172407895,-0.332669625412,-0.0619905201079,0.0829333333333,0.917066666667
0,26,173.48,-0.390655121836,0.199620015537,-0.553134151502,-0.318888025038,-0.060533792858,0.0530666666667,0.946933333333
0,27,179.56,-0.284291288007,0.228346253981,-0.533902156766,-0.212100585449,-0.0855273541757,0.0664,0.9336
0,28,172.64,-0.284184420817,0.213489858889,-0.533812670997,-0.195845618133,-0.0821682542364,0.0512,0.9488
0,29,176.28,-0.648574444305,0.0685813800102,-0.607395722644,-0.533496809362,-0.0172339969542,0.0584,0.9416
0,30,188.64,-0.798112796407,0.0193406697989,-0.633441678707,-0.670130327554,0.00608314151748,0.0858666666667,0.914133333333
0,31,163.32,-0.901523486359,-0.0094651671917,-0.643322815309,-0.779224681779,0.0108269645575,0.0296,0.9704
0,32,174.0,-0.904107790366,-0.00741547659662,-0.648247773418,-0.767409072217,0.0128913696681,0.0533333333333,0.946666666667
0,33,159.36,-0.955190680976,-0.0053155409744,-0.672908446015,-0.818311261442,0.0183565663071,0.0208,0.9792
