World,Generation,Fitness,BaseRate,KinChange,CoopChange,DefectChange,GroupChange,CoopPercent,DefectPercent
31,4,56.0309549261,-0.340312738014,0.256635630605,-0.0684524262382,-0.113388694876,-0.306886575013,0.015,0.985
31,5,54.2942283542,-0.423993749261,0.174707324609,-0.0803524268277,-0.143661913546,-0.263581073294,0.001,0.999
31,6,53.8511568712,-0.451886215892,0.225350537921,-0.0706001793299,-0.118736897389,-0.252254911706,0.001,0.999
31,7,53.5396969255,-0.507119032046,0.264102409948,0.0207920889586,-0.0865194478271,-0.314730223408,0.002,0.998
31,8,52.3923268587,-0.552471378423,0.227980926607,0.00881418071525,-0.0981713839755,-0.360130932241,0.0,1.0
31,9,51.7348329843,-0.585880814601,0.262597210004,-0.0126797012371,-0.0967937621676,-0.370704334751,0.0,1.0
31,10,51.5459978605,-0.588652125847,0.374792504667,-0.0493602653118,-0.0194307623745,-0.38218143023,0.0,1.0
31,11,51.8821697823,-0.542552695034,0.428463279979,-0.0789458006513,-0.0772980257802,-0.363921659905,0.0,1.0
31,12,51.6018095578,-0.570440784547,0.413959541824,-0.0866832906559,-0.00301228416653,-0.38164563866,0.0,1.0
31,13,51.3662312711,-0.59813550582,0.44285697779,-0.128309764632,-0.00541443680424,-0.363017647402,0.0,1.0
31,14,50.9174385593,-0.655706254763,0.472790430395,-0.0782245183632,0.0211512270351,-0.354676136976,0.0,1.0
31,15,50.8024457546,-0.712673410747,0.463367016031,-0.105971521291,0.108546971321,-0.376120050061,0.0,1.0
31,16,50.6752467906,-0.767316451972,0.456207838166,-0.0439954775114,0.134887183857,-0.372581509945,0.001,0.999
31,17,50.5141182394,-0.770380058743,0.44012007861,-0.073249591943,0.125148310682,-0.320423346898,0.0,1.0
31,18,50.4845254536,-0.774255959607,0.454656038095,-0.0347285432049,0.133673759432,-0.363299637377,0.0,1.0
31,19,50.7483565352,-0.750640897641,0.452107113298,-0.0784427821592,0.132454459331,-0.359559401395,0.001,0.999
31,20,50.5009129184,-0.782252673,0.493778829419,-0.0657449619251,0.183293405198,-0.382346713648,0.0,1.0
31,21,50.7993429068,-0.767869111945,0.452291728858,-0.105726641662,0.14508952451,-0.362718656195,0.0,1.0
31,22,50.6929866489,-0.738549995212,0.374379926962,-0.149666449959,0.0566043756686,-0.311204993294,0.0,1.0
31,23,50.8581020241,-0.755608442679,0.361070634791,-0.14374904421,0.0419888927459,-0.275081385792,0.0,1.0
31,24,50.6875884809,-0.764544456781,0.364301286962,-0.137587396776,0.0587821758724,-0.257016630399,0.0,1.0
31,25,50.7632778195,-0.749093019832,0.351002003747,-0.16595802609,0.0530738702283,-0.254080313355,0.0,1.0
31,26,50.9355969542,-0.723499713995,0.32993427287,-0.212645865047,0.0254113268094,-0.252707067981,0.002,0.998
31,27,50.8234017813,-0.726088900577,0.344746919517,-0.215996116409,0.0439166445788,-0.260743727644,0.0,1.0
31,28,50.7991386139,-0.750587422399,0.364746284257,-0.189132863769,0.110625983018,-0.319600140981,0.001,0.999
31,29,50.6094814806,-0.748589928282,0.372227465714,-0.181994776282,0.120135619455,-0.334865816092,0.0,1.0
31,30,50.8972534445,-0.748231680945,0.365853445523,-0.19722135548,0.104628051311,-0.281358281573,0.001,0.999
31,31,50.6466446569,-0.742806809796,0.379033359884,-0.23591979198,0.137621953418,-0.343303228267,0.0,1.0
31,32,50.7169663808,-0.754038962377,0.361887521492,-0.237619648434,0.16119173371,-0.366654976548,0.0,1.0
31,33,50.8238601285,-0.725888563464,0.346285067138,-0.263474300642,0.0706574001768,-0.302802987282,0.0,1.0
31,34,50.7626547899,-0.716071635523,0.307866291784,-0.257542686431,0.018460263559,-0.255468436927,0.0,1.0
31,35,50.5379521414,-0.731943145128,0.328820871112,-0.177948518237,0.0110865164561,-0.289012960753,0.0,1.0
31,36,50.6148712161,-0.738441211025,0.299077575292,-0.222767625158,0.0376780867797,-0.26071425214,0.0,1.0
31,37,50.8726593036,-0.727292162201,0.304469757942,-0.221266115781,0.0293180041874,-0.241257564842,0.002,0.998
31,38,50.6673557185,-0.712736942581,0.239688950105,-0.279233285024,-0.039367759857,-0.190248239125,0.0,1.0
31,39,50.8641110357,-0.698832385347,0.218463075353,-0.24126642906,-0.0554228714769,-0.142679740308,0.0,1.0
31,40,50.8927977289,-0.683704519212,0.213341525993,-0.319121363152,-0.0369480076314,-0.14575607614,0.0,1.0
31,41,51.1210430411,-0.658024815945,0.195737981369,-0.323337232262,-0.0725761169768,-0.0875513478327,0.002,0.998
31,42,51.6281186246,-0.64805596147,0.157891262364,-0.341109058052,-0.113961987134,-0.0590945580494,0.004,0.996
31,43,50.6723179312,-0.684556832592,0.207720197229,-0.340927176366,-0.0157371888892,-0.163634079483,0.0,1.0
31,44,50.8749416844,-0.677557613835,0.202417521716,-0.340471191699,-0.0417782331082,-0.163707262457,0.001,0.999
31,45,50.896954534,-0.673243713458,0.195137890883,-0.353087545079,-0.0712932100491,-0.155268768564,0.0,1.0
31,46,50.7844041633,-0.703142596255,0.241462623021,-0.38926354568,-0.016887728528,-0.196896849717,0.0,1.0
31,47,50.7083399105,-0.702589366227,0.260227825094,-0.365471244981,0.0272639463315,-0.237325606978,0.0,1.0
31,48,50.6764676659,-0.702798947919,0.243058341621,-0.348842584618,0.0252334522643,-0.256397817306,0.0,1.0
31,49,50.7274568956,-0.719073466962,0.295957747786,-0.315259965915,0.102810525966,-0.338748811189,0.0,1.0
31,50,50.7938822729,-0.748659774753,0.360568568906,-0.331412635668,0.139118195082,-0.372790875658,0.0,1.0
31,51,50.6818555024,-0.751293291609,0.332369921988,-0.359160392421,0.0935496026316,-0.340456500689,0.0,1.0
31,52,50.7623235607,-0.739104642023,0.29880767395,-0.361064491058,0.0488461991692,-0.302865417121,0.0,1.0
31,53,50.8432454729,-0.739957949809,0.305784474718,-0.363065746836,0.049424458678,-0.299695158348,0.0,1.0
31,54,50.6714905344,-0.77442683091,0.3532724905,-0.348828960219,0.130955914798,-0.386184693976,0.0,1.0
31,55,50.7349841101,-0.7686824299,0.372749109762,-0.35715761297,0.157443819481,-0.378104436084,0.0,1.0
31,56,50.7434608033,-0.771395450392,0.361344084372,-0.351280741366,0.141843561854,-0.338209131103,0.0,1.0
31,57,50.7282536058,-0.785022800988,0.364159424707,-0.345105378449,0.149729643904,-0.338994194985,0.0,1.0
