World,Generation,Fitness,BaseRate,KinChange,CoopChange,DefectChange,GroupChange,CoopPercent,DefectPercent
0,0,39.3248867042,-0.1797,0.0663,-0.1417,-0.0131,-0.0878,0.147,0.853
0,1,30.5345984951,-0.398803927355,0.0224478617159,-0.124211964643,-0.0769168223745,-0.242421070731,0.018,0.982
0,2,29.5364289621,-0.427522508425,-0.0180582234343,-0.0917202011054,-0.0453233921746,-0.315450476666,0.023,0.977
0,3,27.4133439879,-0.502083845299,-0.158049040875,-0.0902691717185,-0.0215765786799,-0.398743453036,0.01,0.99
0,4,26.3033800535,-0.507668107197,-0.202811015333,-0.211394976885,0.0596408267352,-0.546139253926,0.001,0.999
0,5,25.8249307072,-0.520138446111,-0.278254930306,-0.333577695905,0.140256653831,-0.69556922866,0.0,1.0
0,6,26.2756235222,-0.484193045592,-0.212247409437,-0.433804718366,0.236307799286,-0.680100100156,0.0,1.0
0,7,26.6263255924,-0.471878547714,-0.182120685217,-0.367098434679,0.150972315006,-0.70732596995,0.0,1.0
0,8,25.6558121583,-0.491727405937,-0.252870379216,-0.346095543206,0.00910152897641,-0.770194430328,0.0,1.0
0,9,25.6738741274,-0.480925908019,-0.290618884987,-0.334165510284,-0.00663959411698,-0.746499480427,0.0,1.0
0,10,25.653732632,-0.458381190436,-0.336090459321,-0.453980153512,0.0402015688592,-0.77708278217,0.0,1.0
0,11,25.5808447467,-0.453040844281,-0.295433365512,-0.408207971735,0.0524006465431,-0.792000893917,0.0,1.0
0,12,25.530870552,-0.477960943371,-0.366760332548,-0.457293594686,0.154275903465,-0.783120077403,0.0,1.0
0,13,25.5367178816,-0.480818845336,-0.306107236424,-0.408060990713,0.18076425778,-0.76277615953,0.0,1.0
0,14,25.556419856,-0.490650098993,-0.304925712363,-0.371969872146,0.197826518192,-0.740024372954,0.0,1.0
0,15,25.6633793805,-0.503488070262,-0.175294248956,-0.322352820956,0.188898851777,-0.712708420119,0.0,1.0
0,16,25.6716538621,-0.486622191552,-0.241407862214,-0.340476348208,0.178101886824,-0.721586718277,0.0,1.0
0,17,25.7314636827,-0.44692699783,-0.185329863683,-0.346149352054,0.194942205968,-0.717299324933,0.0,1.0
0,18,25.743660049,-0.453256220397,-0.17982934433,-0.335680726601,0.184305719025,-0.707986902464,0.0,1.0
0,19,25.6473923079,-0.4495058372,-0.300495035318,-0.379446486809,0.16107674257,-0.738875849729,0.0,1.0
0,20,25.7215408411,-0.453233079212,-0.246252873683,-0.307608366411,0.15751458132,-0.7374688923,0.0,1.0
0,21,25.5449318886,-0.502115270999,-0.313500749398,-0.274270185473,0.121000227074,-0.754171920586,0.0,1.0
0,22,25.6075851304,-0.478312650314,-0.246390102609,-0.371357295053,0.175472897615,-0.761465288388,0.0,1.0
0,23,25.5693147133,-0.465736737641,-0.254768642495,-0.430541953348,0.233786867884,-0.785836872521,0.0,1.0
0,24,25.5343879272,-0.478407112848,-0.324266823013,-0.261061507065,0.122243783729,-0.767536098261,0.0,1.0
0,25,25.5310187629,-0.488949081023,-0.33285441846,-0.241745016074,0.106904362821,-0.763816711605,0.0,1.0
0,26,25.557446839,-0.48869047382,-0.334936250135,-0.246085026752,0.139886987932,-0.752296578939,0.0,1.0
0,27,25.4952232761,-0.496612933725,-0.36773032752,-0.242108727605,0.177602256503,-0.749267942727,0.0,1.0
0,28,25.4250928576,-0.509741760579,-0.460023501988,-0.213123934926,0.198101522631,-0.747227017834,0.0,1.0
0,29,25.4884313121,-0.484438978819,-0.3926585814,-0.244437717657,0.2334237081,-0.732540792755,0.0,1.0
0,30,25.3712859,-0.489527050861,-0.457604006288,-0.34975318804,0.314137513439,-0.765559245074,0.0,1.0
0,31,25.3628853446,-0.462882845661,-0.499338423261,-0.426221328047,0.351391552994,-0.789450003941,0.0,1.0
0,32,25.3256011568,-0.438931518666,-0.471759626775,-0.49266886578,0.388832384036,-0.787727018372,0.0,1.0
0,33,25.3585541063,-0.45726778362,-0.520468087157,-0.450430246162,0.364280188002,-0.787041432588,0.0,1.0
0,34,25.3405997949,-0.432234801447,-0.495289650021,-0.527198841604,0.430431760364,-0.800509632498,0.0,1.0
0,35,25.3690858052,-0.445869741947,-0.478199404572,-0.500358398778,0.403790814687,-0.799357757101,0.0,1.0
0,36,25.3292471274,-0.422299112446,-0.461815373948,-0.533229705646,0.414276696639,-0.804607795138,0.0,1.0
0,37,25.3385195456,-0.42251032385,-0.516300073782,-0.53244948236,0.43258645494,-0.798752612615,0.0,1.0
0,38,25.3717068383,-0.430716915998,-0.488552116924,-0.560782235186,0.445398112171,-0.809211506352,0.0,1.0
0,39,25.3125725705,-0.457755439322,-0.486914840612,-0.595167253704,0.497420691085,-0.809239501684,0.0,1.0
0,40,25.257328887,-0.42346859396,-0.524074065645,-0.666822534734,0.530040516872,-0.835551608936,0.0,1.0
0,41,25.3026113603,-0.435938450179,-0.519009411907,-0.693867022946,0.542729995307,-0.835765943059,0.0,1.0
0,42,25.2538489582,-0.414598367497,-0.514059282728,-0.766977807204,0.585923641146,-0.842673468363,0.0,1.0
0,43,25.2848046054,-0.430079319695,-0.467130143439,-0.707135685433,0.553189752929,-0.823640268085,0.0,1.0
0,44,25.2592355122,-0.430682848716,-0.480566562814,-0.688550984689,0.524200360905,-0.838089167826,0.0,1.0
0,45,25.2784990154,-0.442332472056,-0.462128390255,-0.616861128956,0.493984506138,-0.816902519225,0.0,1.0
0,46,25.2492355214,-0.476889151166,-0.457015871594,-0.492455934306,0.401694727762,-0.817334828162,0.0,1.0
0,47,25.2286528011,-0.458283785137,-0.478463947684,-0.564288859493,0.433861325061,-0.837133563246,0.0,1.0
0,48,25.2013419469,-0.45816301432,-0.437855512189,-0.582321639717,0.428449728719,-0.844420864816,0.0,1.0
0,49,25.1731046451,-0.449758222275,-0.425338427389,-0.649545360768,0.480928898075,-0.842507980621,0.0,1.0
0,50,25.1743982848,-0.435842706943,-0.518717914085,-0.66589257752,0.481496271535,-0.856945195586,0.0,1.0
0,51,25.1572586288,-0.416192215162,-0.489926521892,-0.71147128718,0.529636437991,-0.865117478736,0.0,1.0
0,52,25.1933421774,-0.426953375977,-0.523440992369,-0.644344867385,0.471405499741,-0.86390294892,0.0,1.0
0,53,25.16278868,-0.409545762576,-0.543997391991,-0.685753309158,0.520980116347,-0.87731929583,0.0,1.0
0,54,25.1467919006,-0.409618587899,-0.550099389084,-0.719560866523,0.545468631448,-0.885623083209,0.0,1.0
0,55,25.1465828569,-0.416294465771,-0.559085905626,-0.699206368061,0.534514351551,-0.885437529331,0.0,1.0
0,56,25.1602513855,-0.414332351574,-0.545172002372,-0.705141289317,0.54407942261,-0.881634299186,0.0,1.0
0,57,25.1581219141,-0.4082459266,-0.528065032847,-0.740692658349,0.574100852243,-0.890360963343,0.0,1.0
0,58,25.1845475472,-0.398532344907,-0.502792255883,-0.771957785975,0.584363713622,-0.91083641551,0.0,1.0
0,59,25.1691047069,-0.404776587085,-0.529907916959,-0.718327506686,0.53255926153,-0.892153991222,0.0,1.0
0,60,25.1683054179,-0.387015704592,-0.52654305488,-0.775711467471,0.580209821471,-0.898246292741,0.0,1.0
0,61,25.2233413362,-0.410635641265,-0.57503708958,-0.666774537253,0.553990889866,-0.889739089734,0.0,1.0
0,62,25.2005008773,-0.411890594269,-0.582155255304,-0.684377996188,0.566353756254,-0.885357877091,0.0,1.0
0,63,25.2310544752,-0.44770373103,-0.588432631175,-0.623375493739,0.530498596073,-0.86753703346,0.0,1.0
0,64,25.1903642021,-0.432847529647,-0.600534617336,-0.661735589752,0.529288866178,-0.869148775046,0.0,1.0
0,65,25.1818602726,-0.400458804527,-0.574024088796,-0.718612527459,0.593097728935,-0.881656100826,0.0,1.0
0,66,25.1531050512,-0.415708094985,-0.58216559623,-0.691345488675,0.582772173359,-0.871223016937,0.0,1.0
0,67,25.1882213845,-0.482087870314,-0.641447994987,-0.543281096537,0.430316956644,-0.837002343933,0.0,1.0
0,68,25.1728997082,-0.491022465548,-0.676153557554,-0.496874941594,0.400577219342,-0.809884108434,0.0,1.0
0,69,25.1776757684,-0.460580789188,-0.638827874774,-0.551318711983,0.476025571796,-0.837093757179,0.0,1.0
0,70,25.2130320391,-0.519342558135,-0.690447000468,-0.396233296149,0.332365907724,-0.810156006354,0.0,1.0
0,71,25.2095607928,-0.526728147241,-0.691508822659,-0.387905877397,0.323253370253,-0.811743228566,0.0,1.0
0,72,25.2286962065,-0.550135477855,-0.71898193009,-0.34613869548,0.255954988671,-0.788263666308,0.0,1.0
0,73,25.1909793446,-0.564644284108,-0.72106825113,-0.303411906759,0.193968972857,-0.780312326996,0.0,1.0
0,74,25.1744778782,-0.606593015006,-0.741559516504,-0.257969787078,0.128161769578,-0.753571770658,0.0,1.0
0,75,25.1744320259,-0.564868499797,-0.725608209594,-0.3440158528,0.229349642887,-0.755549248897,0.0,1.0
0,76,25.1900031581,-0.607320256301,-0.743525375244,-0.262754173391,0.144748121011,-0.749336092933,0.0,1.0
0,77,25.1674828396,-0.526827259181,-0.707058907014,-0.429154883251,0.322344312985,-0.778744924993,0.0,1.0
0,78,25.1890512123,-0.514242105467,-0.722342884894,-0.467211807919,0.356039297579,-0.773914727881,0.0,1.0
0,79,25.1714215985,-0.488504877933,-0.703611231927,-0.499891467528,0.407011650422,-0.794352718019,0.0,1.0
0,80,25.1432920778,-0.491010705485,-0.726089301609,-0.496544429396,0.393932473622,-0.782438684146,0.0,1.0
0,81,25.1685270571,-0.492442299445,-0.720022198809,-0.482232249007,0.362445125799,-0.788921550508,0.0,1.0
0,82,25.2102539647,-0.532778719048,-0.758574898287,-0.38939874179,0.275303204198,-0.766353622353,0.0,1.0
0,83,25.1647969044,-0.542865254843,-0.757876498887,-0.384424624605,0.260368932636,-0.777153949234,0.0,1.0
0,84,25.1706338854,-0.491836941868,-0.719450485232,-0.455700103696,0.342628123403,-0.807336691417,0.0,1.0
0,85,25.2026317085,-0.438649137249,-0.703833064584,-0.538224441755,0.412939845001,-0.817205697766,0.0,1.0
0,86,25.1346007044,-0.408739843666,-0.673072579857,-0.633999617509,0.477086539969,-0.850740822457,0.0,1.0
0,87,25.1357023324,-0.418854828043,-0.672503756103,-0.625931687219,0.483648981884,-0.857819463652,0.0,1.0
0,88,25.1492547913,-0.435211435214,-0.665088862679,-0.577038669229,0.444537982806,-0.856706267061,0.0,1.0
0,89,25.1997091953,-0.449456490055,-0.667774492625,-0.512805953117,0.38367377516,-0.854619052689,0.0,1.0
0,90,25.1599903499,-0.468851444167,-0.67388702287,-0.467413560068,0.345341537766,-0.849165955061,0.0,1.0
0,91,25.1753663488,-0.498609229684,-0.690325137936,-0.417399405115,0.305109958817,-0.83272156047,0.0,1.0
0,92,25.1661742468,-0.545095834763,-0.703752504101,-0.352564461936,0.253268669529,-0.822832921575,0.0,1.0
0,93,25.1385609533,-0.516004663503,-0.709850074262,-0.414585584987,0.329892126522,-0.825933139195,0.0,1.0
0,94,25.1469858544,-0.486229860688,-0.712336878781,-0.453808850812,0.3772320217,-0.821102524754,0.0,1.0
0,95,25.1218168674,-0.448120652867,-0.713640981932,-0.551630744841,0.468945522787,-0.824327521596,0.0,1.0
0,96,25.1173519366,-0.431714899032,-0.693467080592,-0.592418108618,0.512172408503,-0.840984887755,0.0,1.0
0,97,25.1202866409,-0.498168696774,-0.725612078146,-0.476958241812,0.404511676492,-0.818291393974,0.0,1.0
0,98,25.1417848077,-0.535424618177,-0.745351785888,-0.387494245483,0.319001598479,-0.800845393568,0.0,1.0
0,99,25.1291333188,-0.508267857787,-0.723642283511,-0.457441381165,0.391405948504,-0.821088423819,0.0,1.0
1,0,51.8792754978,0.0656,0.0412,0.089,0.0846,0.0611,0.26,0.74
1,1,36.8971735269,-0.258867417445,0.101878206316,0.078312832821,0.241067113709,0.0454205584973,0.108,0.892
1,2,33.2476031284,-0.326899637319,0.192723545748,0.144547709113,0.282104177823,-0.0683202401436,0.04,0.96
1,3,30.2852147057,-0.379580138048,0.251342182537,0.189038301419,0.117883662805,-0.0994363389349,0.02,0.98
1,4,28.6163519355,-0.449427281304,0.221261346703,0.128808770603,0.0806051463089,-0.153358103829,0.001,0.999
1,5,27.9777128393,-0.462904428074,0.259997112986,0.119620016551,-0.00358195104256,-0.194866009113,0.002,0.998
1,6,26.7628632508,-0.502179480008,0.352835173369,0.208395129681,0.00327378350493,-0.238313835621,0.0,1.0
1,7,26.5433636954,-0.550310424397,0.344352706605,0.155324932107,0.0231276858526,-0.179154637909,0.002,0.998
1,8,26.6559440891,-0.576159093013,0.4331515332,0.308756710785,0.123002312014,-0.162395960029,0.0,1.0
1,9,26.9038143646,-0.581222687113,0.478903354273,0.296526832822,0.104610223482,-0.172330430073,0.005,0.995
1,10,26.2501121175,-0.602616028828,0.454376268245,0.2564406947,0.108587432352,-0.156053200241,0.0,1.0
1,11,26.8300790755,-0.611675224057,0.481774270587,0.301642784063,0.13648048583,-0.174148111144,0.002,0.998
1,12,26.4111046565,-0.58442387466,0.292907657944,0.0819937891106,0.0189545348749,-0.255824575525,0.0,1.0
1,13,26.5488689685,-0.597717270374,0.291543778943,-0.039746524934,-0.00631752495981,-0.170311304238,0.001,0.999
1,14,26.3699356928,-0.599072645,0.235263049973,-0.109234377603,-0.0430416260563,-0.172251738965,0.0,1.0
1,15,26.3319052509,-0.599448896999,0.253944946419,-0.10617107611,-0.0328033768999,-0.169115972152,0.0,1.0
1,16,26.2620074302,-0.614383662228,0.272400295686,-0.0647897196518,-0.00710512604215,-0.1718661475,0.0,1.0
1,17,26.522415493,-0.618974312527,0.314606872966,-0.0805406594039,-0.00843246674243,-0.147741018421,0.0,1.0
1,18,26.3734867816,-0.628087477445,0.364029513389,-0.0436479100333,0.0180800354243,-0.123591068188,0.0,1.0
1,19,26.3116261916,-0.643995270508,0.362495624856,-0.00855538041105,0.043664605132,-0.123887118275,0.0,1.0
1,20,26.2221200691,-0.663326684145,0.368885875108,-0.00315841005259,0.0647088299669,-0.0949978756052,0.0,1.0
1,21,26.2205479033,-0.668205458727,0.353305623748,0.00516043954569,0.0659633926747,-0.134604195065,0.0,1.0
